Time;Year;M;Liquor;Time1
1;1987;1;480;1
2;1987;2;467;2
3;1987;3;514;3
4;1987;4;505;4
5;1987;5;534;5
6;1987;6;546;6
7;1987;7;539;7
8;1987;8;541;8
9;1987;9;551;9
10;1987;10;537;10
11;1987;11;584;11
12;1987;12;854;12
13;1988;1;522;13
14;1988;2;506;14
15;1988;3;558;15
16;1988;4;538;16
17;1988;5;605;17
18;1988;6;583;18
19;1988;7;607;19
20;1988;8;624;20
21;1988;9;570;21
22;1988;10;609;22
23;1988;11;675;23
24;1988;12;861;24
25;1989;1;605;25
26;1989;2;537;26
27;1989;3;575;27
28;1989;4;588;28
29;1989;5;656;29
30;1989;6;623;30
31;1989;7;661;31
32;1989;8;668;32
33;1989;9;603;33
34;1989;10;639;34
35;1989;11;669;35
36;1989;12;915;36
37;1990;1;643;37
38;1990;2;563;38
39;1990;3;616;39
40;1990;4;645;40
41;1990;5;703;41
42;1990;6;684;42
43;1990;7;731;43
44;1990;8;722;44
45;1990;9;678;45
46;1990;10;713;46
47;1990;11;725;47
48;1990;12;989;48
49;1991;1;687;49
50;1991;2;629;50
51;1991;3;687;51
52;1991;4;706;52
53;1991;5;754;53
54;1991;6;774;54
55;1991;7;825;55
56;1991;8;755;56
57;1991;9;751;57
58;1991;10;783;58
59;1991;11;804;59
60;1991;12;1139;60
61;1992;1;711;61
62;1992;2;693;62
63;1992;3;790;63
64;1992;4;754;64
65;1992;5;799;65
66;1992;6;824;66
67;1992;7;854;67
68;1992;8;810;68
69;1992;9;798;69
70;1992;10;807;70
71;1992;11;832;71
72;1992;12;1142;72
73;1993;1;740;73
74;1993;2;713;74
75;1993;3;791;75
76;1993;4;768;76
77;1993;5;846;77
78;1993;6;884;78
79;1993;7;886;79
80;1993;8;878;80
81;1993;9;813;81
82;1993;10;840;82
83;1993;11;884;83
84;1993;12;1245;84
85;1994;1;796;85
86;1994;2;750;86
87;1994;3;834;87
88;1994;4;838;88
89;1994;5;902;89
90;1994;6;895;90
91;1994;7;962;91
92;1994;8;990;92
93;1994;9;882;93
